name,member,plate,weld,bolt_group,a
FEP1,O 1200WB455 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP2,O 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP3,O 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP4,O 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP5,O 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP6,O 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP7,O 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP8,O 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP9,O 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP10,O 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP11,O 1000WB215 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP12,O 900WB282 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP13,O 900WB257 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP14,O 900WB218 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP15,O 900WB175 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP16,O 800WB192 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP17,O 800WB168 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP18,O 800WB146 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP19,O 800WB122 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,9x2 (70px140g) 35 M20 8.8/S (TI),100
FEP20,O 1200WB455 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP21,O 1200WB423 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP22,O 1200WB392 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP23,O 1200WB342 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP24,O 1200WB317 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP25,O 1200WB278 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP26,O 1200WB249 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP27,O 1000WB322 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP28,O 1000WB296 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
FEP29,O 1000WB258 (GR300),200mm 10mm Plate GR250,6mm CFW SP E48XX,8x2 (70px140g) 35 M20 8.8/S (TI),100
