name,member,weld,plate,bolt_group,a
WSP1,O 1200WB455 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP2,O 1200WB423 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP3,O 1200WB392 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP4,O 1200WB342 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP5,O 1200WB317 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP6,O 1200WB249 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP7,O 1200WB278 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP8,O 1000WB322 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP9,O 1000WB296 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP10,O 1000WB258 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP11,O 1000WB215 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP12,O 900WB282 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP13,O 900WB257 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP14,O 900WB218 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP15,O 900WB175 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP16,O 800WB192 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP17,O 800WB168 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP18,O 800WB146 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP19,O 800WB122 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"9x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP20,O 1200WB455 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"8x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP21,O 1200WB423 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"8x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP22,O 1200WB392 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"8x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP23,O 1200WB342 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"8x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP24,O 1200WB317 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"8x1 (70px55g) 35,35 M20 8.8/S (TI)",100
WSP25,O 1200WB249 (GR300),6mm CFW SP E48XX,90mm 8mm Plate GR250,"8x1 (70px55g) 35,35 M20 8.8/S (TI)",100
