n_p,n_g,s_p,s_g,bolt
1,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
1,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
1,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
2,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
2,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
2,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
3,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
3,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
3,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
4,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
4,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
4,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
5,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
5,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
5,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
6,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
6,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
6,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
7,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
7,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
7,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
8,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
8,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
8,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
9,2,70,70,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
9,2,70,90,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
9,2,70,140,"{""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
1,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
1,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
1,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
2,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
2,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
2,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
3,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
3,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
3,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
4,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
4,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
4,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
5,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
5,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
5,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
6,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
6,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
6,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
7,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
7,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
7,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
8,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
8,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
8,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
9,2,70,70,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
9,2,70,90,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
9,2,70,140,"{""d_f"": 24, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}"
