unfeatured_member,features,d_ct,d_cb,L_c,r_c
-,-,mm,mm,mm,mm
610UB125 (GR300),O,,,,
610UB113 (GR300),O,,,,
610UB101 (GR300),O,,,,
530UB92.4 (GR300),O,,,,
530UB82.0 (GR300),O,,,,
460UB82.1 (GR300),O,,,,
460UB74.6 (GR300),O,,,,
460UB67.1 (GR300),O,,,,
410UB59.7 (GR300),O,,,,
410UB53.7 (GR300),O,,,,
360UB56.7 (GR300),O,,,,
360UB50.7 (GR300),O,,,,
360UB44.7 (GR300),O,,,,
310UB46.2 (GR300),O,,,,
310UB40.4 (GR300),O,,,,
310UB32.0 (GR300),O,,,,
250UB37.3 (GR300),O,,,,
250UB31.4 (GR300),O,,,,
250UB25.7 (GR300),O,,,,
200UB29.8 (GR300),O,,,,
200UB25.4 (GR300),O,,,,
200UB22.3 (GR300),O,,,,
200UB18.2 (GR300),O,,,,
610UB125 (GR300),SWC,65,,120,10
610UB113 (GR300),SWC,65,,120,10
610UB101 (GR300),SWC,65,,120,10
530UB92.4 (GR300),SWC,65,,120,10
530UB82.0 (GR300),SWC,65,,120,10
460UB82.1 (GR300),SWC,65,,120,10
460UB74.6 (GR300),SWC,65,,120,10
460UB67.1 (GR300),SWC,65,,120,10
410UB59.7 (GR300),SWC,65,,120,10
410UB53.7 (GR300),SWC,65,,120,10
360UB56.7 (GR300),SWC,65,,120,10
360UB50.7 (GR300),SWC,65,,120,10
360UB44.7 (GR300),SWC,65,,120,10
310UB46.2 (GR300),SWC,65,,120,10
310UB40.4 (GR300),SWC,65,,120,10
310UB32.0 (GR300),SWC,65,,120,10
250UB37.3 (GR300),SWC,65,,120,10
250UB31.4 (GR300),SWC,65,,120,10
250UB25.7 (GR300),SWC,65,,120,10
200UB29.8 (GR300),SWC,35,,120,10
200UB25.4 (GR300),SWC,35,,120,10
200UB22.3 (GR300),SWC,35,,120,10
200UB18.2 (GR300),SWC,35,,120,10
610UB125 (GR300),DWC,65,35,120,10
610UB113 (GR300),DWC,65,35,120,10
610UB101 (GR300),DWC,65,35,120,10
530UB92.4 (GR300),DWC,65,35,120,10
530UB82.0 (GR300),DWC,65,35,120,10
460UB82.1 (GR300),DWC,65,35,120,10
460UB74.6 (GR300),DWC,65,35,120,10
460UB67.1 (GR300),DWC,65,35,120,10
410UB59.7 (GR300),DWC,65,35,120,10
410UB53.7 (GR300),DWC,65,35,120,10
360UB56.7 (GR300),DWC,65,35,120,10
360UB50.7 (GR300),DWC,65,35,120,10
360UB44.7 (GR300),DWC,65,35,120,10
310UB46.2 (GR300),DWC,35,35,120,10
310UB40.4 (GR300),DWC,35,35,120,10
310UB32.0 (GR300),DWC,35,35,120,10
250UB37.3 (GR300),DWC,35,35,120,10
250UB31.4 (GR300),DWC,35,35,120,10
250UB25.7 (GR300),DWC,35,35,120,10
200UB29.8 (GR300),DWC,35,20,120,10
200UB25.4 (GR300),DWC,35,20,120,10
200UB22.3 (GR300),DWC,35,20,120,10
200UB18.2 (GR300),DWC,35,20,120,10
