name,section,sec_type,mat_type,grade,d,b,t,r_o
-,-,-,-,-,mm,mm,mm,mm
50x20x1.6RHS (C350),50x20x1.6RHS,RHS,HollowSection,C350,50,20,1.6,3.2
50x25x1.6RHS (C350),50x25x1.6RHS,RHS,HollowSection,C350,50,25,1.6,3.2
50x20x2RHS (C350),50x20x2RHS,RHS,HollowSection,C350,50,20,2,4
50x25x2RHS (C350),50x25x2RHS,RHS,HollowSection,C350,50,25,2,4
50x20x2.5RHS (C350),50x20x2.5RHS,RHS,HollowSection,C350,50,20,2.5,5
50x25x2.5RHS (C350),50x25x2.5RHS,RHS,HollowSection,C350,50,25,2.5,5
50x20x3RHS (C350),50x20x3RHS,RHS,HollowSection,C350,50,20,3,6
50x25x3RHS (C350),50x25x3RHS,RHS,HollowSection,C350,50,25,3,6
65x35x2RHS (C350),65x35x2RHS,RHS,HollowSection,C350,65,35,2,4
65x35x2.5RHS (C350),65x35x2.5RHS,RHS,HollowSection,C350,65,35,2.5,5
65x35x3RHS (C350),65x35x3RHS,RHS,HollowSection,C350,65,35,3,6
65x35x4RHS (C350),65x35x4RHS,RHS,HollowSection,C350,65,35,4,10
75x25x1.6RHS (C350),75x25x1.6RHS,RHS,HollowSection,C350,75,25,1.6,3.2
75x25x2RHS (C350),75x25x2RHS,RHS,HollowSection,C350,75,25,2,4
75x50x1.6RHS (C350),75x50x1.6RHS,RHS,HollowSection,C350,75,50,1.6,3.2
75x25x2.5RHS (C350),75x25x2.5RHS,RHS,HollowSection,C350,75,25,2.5,5
75x50x2RHS (C350),75x50x2RHS,RHS,HollowSection,C350,75,50,2,4
75x50x2.5RHS (C350),75x50x2.5RHS,RHS,HollowSection,C350,75,50,2.5,5
75x50x3RHS (C350),75x50x3RHS,RHS,HollowSection,C350,75,50,3,6
75x50x4RHS (C350),75x50x4RHS,RHS,HollowSection,C350,75,50,4,10
75x50x5RHS (C350),75x50x5RHS,RHS,HollowSection,C350,75,50,5,12.5
75x50x6RHS (C350),75x50x6RHS,RHS,HollowSection,C350,75,50,6,15
100x50x1.6RHS (C350),100x50x1.6RHS,RHS,HollowSection,C350,100,50,1.6,3.2
100x50x2RHS (C350),100x50x2RHS,RHS,HollowSection,C350,100,50,2,4
100x50x2.5RHS (C350),100x50x2.5RHS,RHS,HollowSection,C350,100,50,2.5,5
100x50x3RHS (C350),100x50x3RHS,RHS,HollowSection,C350,100,50,3,6
100x50x3.5RHS (C350),100x50x3.5RHS,RHS,HollowSection,C350,100,50,3.5,8.75
100x50x4RHS (C350),100x50x4RHS,RHS,HollowSection,C350,100,50,4,10
100x50x5RHS (C350),100x50x5RHS,RHS,HollowSection,C350,100,50,5,12.5
100x50x6RHS (C350),100x50x6RHS,RHS,HollowSection,C350,100,50,6,15
102x76x3.5RHS (C350),102x76x3.5RHS,RHS,HollowSection,C350,102,76,3.5,8.75
102x76x5RHS (C350),102x76x5RHS,RHS,HollowSection,C350,102,76,5,12.5
102x76x6RHS (C350),102x76x6RHS,RHS,HollowSection,C350,102,76,6,15
125x75x2RHS (C350),125x75x2RHS,RHS,HollowSection,C350,125,75,2,4
125x75x2.5RHS (C350),125x75x2.5RHS,RHS,HollowSection,C350,125,75,2.5,5
125x75x3RHS (C350),125x75x3RHS,RHS,HollowSection,C350,125,75,3,6
125x75x4RHS (C350),125x75x4RHS,RHS,HollowSection,C350,125,75,4,10
125x75x5RHS (C350),125x75x5RHS,RHS,HollowSection,C350,125,75,5,12.5
125x75x6RHS (C350),125x75x6RHS,RHS,HollowSection,C350,125,75,6,15
127x51x3.5RHS (C350),127x51x3.5RHS,RHS,HollowSection,C350,127,51,3.5,8.75
127x51x5RHS (C350),127x51x5RHS,RHS,HollowSection,C350,127,51,5,12.5
127x51x6RHS (C350),127x51x6RHS,RHS,HollowSection,C350,127,51,6,15
150x50x2RHS (C350),150x50x2RHS,RHS,HollowSection,C350,150,50,2,4
150x50x2.5RHS (C350),150x50x2.5RHS,RHS,HollowSection,C350,150,50,2.5,5
150x50x3RHS (C350),150x50x3RHS,RHS,HollowSection,C350,150,50,3,6
150x50x4RHS (C350),150x50x4RHS,RHS,HollowSection,C350,150,50,4,10
150x50x5RHS (C350),150x50x5RHS,RHS,HollowSection,C350,150,50,5,12.5
150x100x4RHS (C350),150x100x4RHS,RHS,HollowSection,C350,150,100,4,10
150x50x6RHS (C350),150x50x6RHS,RHS,HollowSection,C350,150,50,6,15
150x100x5RHS (C350),150x100x5RHS,RHS,HollowSection,C350,150,100,5,12.5
150x100x6RHS (C350),150x100x6RHS,RHS,HollowSection,C350,150,100,6,15
150x100x9RHS (C350),150x100x9RHS,RHS,HollowSection,C350,150,100,9,22.5
200x100x4RHS (C350),200x100x4RHS,RHS,HollowSection,C350,200,100,4,10
200x100x5RHS (C350),200x100x5RHS,RHS,HollowSection,C350,200,100,5,12.5
200x100x6RHS (C350),200x100x6RHS,RHS,HollowSection,C350,200,100,6,15
200x100x9RHS (C350),200x100x9RHS,RHS,HollowSection,C350,200,100,9,22.5
50x25x1.6RHS (C450),50x25x1.6RHS,RHS,HollowSection,C450,50,25,1.6,3.2
50x25x2RHS (C450),50x25x2RHS,RHS,HollowSection,C450,50,25,2,4
50x25x2.5RHS (C450),50x25x2.5RHS,RHS,HollowSection,C450,50,25,2.5,5
50x25x3RHS (C450),50x25x3RHS,RHS,HollowSection,C450,50,25,3,6
65x35x2RHS (C450),65x35x2RHS,RHS,HollowSection,C450,65,35,2,4
