name,section,sec_type,mat_type,grade,d,b,t_f,t_w,r_1,r_2,alpha
-,-,-,,-,mm,mm,mm,mm,mm,mm,degrees
1200WB455 (GR300),1200WB455,WB,WeldedSection,GR300,1200,500,40,16,,,
1200WB423 (GR300),1200WB423,WB,WeldedSection,GR300,1192,500,36,16,,,
1200WB392 (GR300),1200WB392,WB,WeldedSection,GR300,1184,500,32,16,,,
1200WB342 (GR300),1200WB342,WB,WeldedSection,GR300,1184,400,32,16,,,
1200WB317 (GR300),1200WB317,WB,WeldedSection,GR300,1176,400,28,16,,,
1200WB249 (GR300),1200WB249,WB,WeldedSection,GR300,1170,275,25,16,,,
1200WB278 (GR300),1200WB278,WB,WeldedSection,GR300,1170,350,25,16,,,
1000WB322 (GR300),1000WB322,WB,WeldedSection,GR300,1024,400,32,16,,,
1000WB296 (GR300),1000WB296,WB,WeldedSection,GR300,1016,400,28,16,,,
1000WB258 (GR300),1000WB258,WB,WeldedSection,GR300,1010,350,25,16,,,
1000WB215 (GR300),1000WB215,WB,WeldedSection,GR300,1000,300,20,16,,,
900WB282 (GR300),900WB282,WB,WeldedSection,GR300,924,400,32,12,,,
900WB257 (GR300),900WB257,WB,WeldedSection,GR300,916,400,28,12,,,
900WB218 (GR300),900WB218,WB,WeldedSection,GR300,910,350,25,12,,,
900WB175 (GR300),900WB175,WB,WeldedSection,GR300,900,300,20,12,,,
800WB192 (GR300),800WB192,WB,WeldedSection,GR300,816,300,28,10,,,
800WB168 (GR300),800WB168,WB,WeldedSection,GR300,810,275,25,10,,,
800WB146 (GR300),800WB146,WB,WeldedSection,GR300,800,275,20,10,,,
800WB122 (GR300),800WB122,WB,WeldedSection,GR300,792,250,16,10,,,
700WB173 (GR300),700WB173,WB,WeldedSection,GR300,716,275,28,10,,,
700WB150 (GR300),700WB150,WB,WeldedSection,GR300,710,250,25,10,,,
700WB130 (GR300),700WB130,WB,WeldedSection,GR300,700,250,20,10,,,
700WB115 (GR300),700WB115,WB,WeldedSection,GR300,692,250,16,10,,,
500WC340 (GR300),500WC340,WC,WeldedSection,GR300,514,500,32,25,,,
500WC290 (GR300),500WC290,WC,WeldedSection,GR300,506,500,28,20,,,
500WC267 (GR300),500WC267,WC,WeldedSection,GR300,500,500,25,20,,,
500WC228 (GR300),500WC228,WC,WeldedSection,GR300,490,500,20,20,,,
500WC414 (GR300),500WC414,WC,WeldedSection,GR300,480,500,40,32,,,
500WC440 (GR300),500WC440,WC,WeldedSection,GR300,480,500,40,40,,,
500WC383 (GR300),500WC383,WC,WeldedSection,GR300,472,500,36,32,,,
400WC328 (GR300),400WC328,WC,WeldedSection,GR300,430,400,40,28,,,
400WC361 (GR300),400WC361,WC,WeldedSection,GR300,430,400,40,40,,,
400WC303 (GR300),400WC303,WC,WeldedSection,GR300,422,400,36,28,,,
400WC270 (GR300),400WC270,WC,WeldedSection,GR300,414,400,32,25,,,
400WC212 (GR300),400WC212,WC,WeldedSection,GR300,400,400,25,20,,,
400WC181 (GR300),400WC181,WC,WeldedSection,GR300,390,400,20,20,,,
400WC144 (GR300),400WC144,WC,WeldedSection,GR300,382,400,16,16,,,
350WC280 (GR300),350WC280,WC,WeldedSection,GR300,355,350,40,28,,,
350WC258 (GR300),350WC258,WC,WeldedSection,GR300,347,350,36,28,,,
350WC230 (GR300),350WC230,WC,WeldedSection,GR300,339,350,32,25,,,
350WC197 (GR300),350WC197,WC,WeldedSection,GR300,331,350,28,20,,,
610UB125 (GR300),610UB125,UB,HotRolledSection,GR300,611.6,229,19.6,11.9,14,,
610UB113 (GR300),610UB113,UB,HotRolledSection,GR300,607,228,17.3,11.2,14,,
610UB101 (GR300),610UB101,UB,HotRolledSection,GR300,602,228,14.8,10.6,14,,
530UB92.4 (GR300),530UB92.4,UB,HotRolledSection,GR300,533,209,15.6,10.2,14,,
530UB82.0 (GR300),530UB82.0,UB,HotRolledSection,GR300,528.2,209,13.2,9.6,14,,
460UB82.1 (GR300),460UB82.1,UB,HotRolledSection,GR300,460.4,191,16,9.9,11.4,,
