b_i,t_i,plate
50,5,Plate GR250
50,5,Plate GR300
50,5,Plate GR350
50,5,Plate GR400
50,5,Flat Bar GR300
50,5,Flat Bar GR350
50,6,Plate GR250
50,6,Plate GR300
50,6,Plate GR350
50,6,Plate GR400
50,6,Flat Bar GR300
50,6,Flat Bar GR350
50,8,Plate GR250
50,8,Plate GR300
50,8,Plate GR350
50,8,Plate GR400
50,8,Flat Bar GR300
50,8,Flat Bar GR350
50,10,Plate GR250
50,10,Plate GR300
50,10,Plate GR350
50,10,Plate GR400
50,10,Flat Bar GR300
50,10,Flat Bar GR350
50,12,Plate GR250
50,12,Plate GR300
50,12,Plate GR350
50,12,Plate GR400
50,12,Flat Bar GR300
50,12,Flat Bar GR350
50,16,Plate GR250
50,16,Plate GR300
50,16,Plate GR350
50,16,Plate GR400
50,16,Flat Bar GR300
50,16,Flat Bar GR350
50,20,Plate GR250
50,20,Plate GR300
50,20,Plate GR350
50,20,Plate GR400
50,20,Flat Bar GR300
50,20,Flat Bar GR350
50,25,Plate GR250
50,25,Plate GR300
50,25,Plate GR350
50,25,Plate GR400
50,25,Flat Bar GR300
50,25,Flat Bar GR350
50,40,Plate GR250
50,40,Plate GR300
50,40,Plate GR350
50,40,Plate GR400
50,40,Flat Bar GR300
50,40,Flat Bar GR350
50,50,Plate GR250
50,50,Plate GR300
50,50,Plate GR350
50,50,Plate GR400
50,50,Flat Bar GR300
50,50,Flat Bar GR350
65,5,Plate GR250
65,5,Plate GR300
65,5,Plate GR350
65,5,Plate GR400
65,5,Flat Bar GR300
65,5,Flat Bar GR350
65,6,Plate GR250
65,6,Plate GR300
65,6,Plate GR350
65,6,Plate GR400
65,6,Flat Bar GR300
65,6,Flat Bar GR350
65,8,Plate GR250
65,8,Plate GR300
65,8,Plate GR350
65,8,Plate GR400
65,8,Flat Bar GR300
65,8,Flat Bar GR350
65,10,Plate GR250
65,10,Plate GR300
65,10,Plate GR350
65,10,Plate GR400
65,10,Flat Bar GR300
65,10,Flat Bar GR350
65,12,Plate GR250
65,12,Plate GR300
