t_w,weld_type,weld_cat,weld_class
3,CFW,GP,E41XX
3,CFW,GP,E48XX
3,CFW,GP,W40X
3,CFW,GP,W50X
3,CFW,SP,E41XX
3,CFW,SP,E48XX
3,CFW,SP,W40X
3,CFW,SP,W50X
4,CFW,GP,E41XX
4,CFW,GP,E48XX
4,CFW,GP,W40X
4,CFW,GP,W50X
4,CFW,SP,E41XX
4,CFW,SP,E48XX
4,CFW,SP,W40X
4,CFW,SP,W50X
5,CFW,GP,E41XX
5,CFW,GP,E48XX
5,CFW,GP,W40X
5,CFW,GP,W50X
5,CFW,SP,E41XX
5,CFW,SP,E48XX
5,CFW,SP,W40X
5,CFW,SP,W50X
6,CFW,GP,E41XX
6,CFW,GP,E48XX
6,CFW,GP,W40X
6,CFW,GP,W50X
6,CFW,SP,E41XX
6,CFW,SP,E48XX
6,CFW,SP,W40X
6,CFW,SP,W50X
8,CFW,GP,E41XX
8,CFW,GP,E48XX
8,CFW,GP,W40X
8,CFW,GP,W50X
8,CFW,SP,E41XX
8,CFW,SP,E48XX
8,CFW,SP,W40X
8,CFW,SP,W50X
10,CFW,GP,E41XX
10,CFW,GP,E48XX
10,CFW,GP,W40X
10,CFW,GP,W50X
10,CFW,SP,E41XX
10,CFW,SP,E48XX
10,CFW,SP,W40X
10,CFW,SP,W50X
12,CFW,GP,E41XX
12,CFW,GP,E48XX
12,CFW,GP,W40X
12,CFW,GP,W50X
12,CFW,SP,E41XX
12,CFW,SP,E48XX
12,CFW,SP,W40X
12,CFW,SP,W50X
